指标,数值
节点数,300.0
边数,891.0
网络密度,0.019866220735785953
平均度,5.94
最大度,49.0
最小度,3.0
平均聚类系数,0.072805307763586
平均最短路径长度,3.0101003344481607
网络直径,5.0
度分布_均值,5.94
度分布_中位数,4.0
度分布_标准差,6.217963224936818
