节点数,边数,生成时间,基本指标时间,中心性时间,社区检测时间,总时间
100,291,0.0030007362365722656,0.012002229690551758,0.036008596420288086,0.014003753662109375,0.06501531600952148
200,591,0.004156351089477539,0.04417777061462402,0.14580583572387695,0.03000640869140625,0.22414636611938477
300,891,0.00700068473815918,0.10432267189025879,0.3076188564300537,0.05101418495178223,0.4699563980102539
400,1191,0.010001897811889648,0.19536662101745605,0.5386176109313965,0.05947399139404297,0.8034601211547852
500,1491,0.01263737678527832,0.2849724292755127,0.7924294471740723,0.07857322692871094,1.1686124801635742
